data_referencia,interrupcoes,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_direcao_media_gr,vento_direcao_moda_gr,n_dias
2017-01-02,302,1.4284722222222221,4.0,8.4,156.05555555555554,55.0,2
2017-01-09,1601,2.0409289067739773,7.4,17.8,147.67968924659064,35.0,7
2017-01-16,2188,1.8413592667113792,8.5,15.6,199.7994355019003,10.0,7
2017-01-23,1667,1.7027825684264317,5.8,17.9,148.78511146242536,16.0,7
2017-01-30,1509,1.9699446680080483,9.6,15.0,151.9322602280349,53.0,7
2017-02-06,1887,1.7967649548082145,6.6,13.2,180.71923285746223,335.0,7
2017-02-13,1649,2.232637564166072,6.7,11.8,147.42308407250314,15.0,7
2017-02-20,1263,2.451069862155389,9.7,16.6,111.75830342902711,59.0,7
2017-02-27,1467,2.0684928644463274,7.4,14.8,145.1368689689687,6.0,7
2017-03-06,1138,1.5873680353727302,7.3,14.0,175.69171200039747,2.0,7
2017-03-13,960,2.10798295026419,6.2,14.5,127.47661129291778,29.0,7
2017-03-20,1607,1.7996761904197152,5.9,13.3,172.56591322040805,32.0,7
2017-03-27,1161,1.722714062150682,5.8,14.7,152.91007154035324,12.0,7
2017-04-03,1497,1.74958081824279,5.4,12.3,143.75131343617258,29.0,7
2017-04-10,1173,2.0499329309188465,7.8,15.0,116.69802146210597,82.0,7
2017-04-17,798,1.9944242616190972,7.1,12.4,132.52216695233125,65.0,7
2017-04-24,897,1.880342539817285,5.8,15.3,157.00115561080116,29.0,7
2017-05-01,1027,2.4853771396576545,8.5,14.6,124.61571981816243,17.0,7
2017-05-08,931,2.2139440022929664,6.8,12.9,125.74397696368581,20.0,7
2017-05-15,887,1.8648699874686716,7.9,14.8,173.47689536340854,31.0,7
2017-05-22,1279,1.7023637218045113,7.3,12.3,146.18009085213032,14.0,7
2017-05-29,777,2.244265350877193,8.0,12.8,114.74771303258146,69.0,7
2017-06-05,838,1.9372745233685387,8.3,14.5,147.99687318552978,39.0,7
2017-06-12,940,1.7702427944862156,6.1,10.0,152.73776629072682,6.0,7
2017-06-19,796,2.3275407268170425,8.9,14.1,111.90410401002507,37.0,7
2017-06-26,994,3.3796303258145364,9.1,16.8,114.57384085213032,103.0,7
2017-07-03,1036,3.1198731203007517,9.1,17.0,109.09359335839599,60.0,7
2017-07-10,997,3.647767857142857,10.9,18.1,93.69494047619048,72.0,7
2017-07-17,1048,3.026439536340852,9.0,14.0,93.22673872180451,87.0,7
2017-07-24,912,2.537228475212874,8.8,14.8,111.88765747572734,47.0,7
2017-07-31,1218,3.6615926370548215,8.5,15.5,92.05174069627851,82.0,7
2017-08-07,1066,2.217057823129252,7.5,13.9,142.8374449779912,96.0,7
2017-08-14,881,2.3460814325730293,8.4,13.4,108.91074429771909,37.0,7
2017-08-21,1088,2.596607030548068,8.2,13.9,104.16650381850853,32.0,7
2017-08-28,949,3.3087840136054423,8.8,15.7,95.88554421768707,76.0,7
2017-09-04,952,3.2655427687690186,9.3,15.4,99.65931672631258,91.0,7
2017-09-11,897,3.271680086683356,10.2,17.3,92.65502402575792,47.0,7
2017-09-18,829,3.4899000437698797,9.5,19.0,85.49561931265718,87.0,7
2017-09-25,835,3.570300681676179,11.0,16.7,87.46260826867858,94.0,7
2017-10-02,2653,2.711210297507169,10.1,16.0,130.6092767078571,4.0,7
2017-10-09,1554,2.9155528620062863,10.2,16.4,110.49619684046002,39.0,7
2017-10-16,1106,2.843156755048348,10.1,15.6,95.1917769200481,51.0,7
2017-10-23,1238,3.077176588170996,11.5,19.9,111.80180011683917,11.0,7
