data_referencia,interrupcoes,precipitacao_total_mm,temperatura_media,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_dir_sin,vento_dir_cos
2017-01-01,7460,143.8,22.341801075268815,1.9383064516129032,7.3,17.8,0.9958352358569555,0.09117117431360455
2017-02-01,6271,242.79999999999998,21.317559523809525,2.2166666666666663,6.3,14.8,0.8650766497738236,0.501639701395431
2017-03-01,5717,177.8,22.106317204301074,1.8388440860215054,7.3,14.0,0.9656747014578,-0.2597544435893039
2017-04-01,4251,25.4,22.381805555555555,2.244861111111111,5.2,9.5,0.9996097725638184,0.027933896880157325
2017-05-01,4247,64.19999999999999,20.926612903225806,2.1001344086021505,5.8,11.4,0.9829207578353522,-0.18402930151575597
2017-06-01,3905,0.0,19.72611111111111,2.514305555555555,6.1,12.9,0.9397395442429209,-0.3418911946600955
2017-07-01,4593,0.0,17.628763440860215,3.27258064516129,7.7,13.9,0.9759477700550488,-0.21800447271690893
2017-08-01,4422,0.0,21.76801075268817,2.445967741935484,6.7,14.0,0.9843088277535541,-0.17645433292051518
2017-09-01,5083,10.0,21.955972222222222,3.2343055555555558,6.8,13.4,0.993409995957154,-0.11461492019980439
2017-10-01,6371,36.0,24.58051075268817,2.6533602150537634,6.2,13.9,0.9932998248848047,0.11556581624259034
2017-11-01,7470,333.8,21.495416666666664,2.3087500000000003,9.1,16.1,0.7939808051021837,0.6079428271879587
2017-12-01,7187,258.2,21.4380376344086,2.128225806451613,5.9,12.8,-0.13806974021431012,0.9904225092540823
2018-01-01,7424,158.8,22.01712301587302,2.154537037037037,5.9,12.3,0.7475075605787395,0.6642533002384122
2018-02-01,6029,257.8,21.497023809523807,2.3169642857142856,7.1,15.9,0.46199536101978217,0.8868823407849551
2018-03-01,6463,228.0,22.006989247311825,2.001075268817204,5.5,13.2,0.2548589377647045,0.9669782426928987
2018-04-01,5176,213.60000000000002,20.513333333333332,2.353333333333333,6.1,11.1,0.9809964995502045,-0.1940254309884285
2018-05-01,4183,9.6,19.66474988312295,2.30526531089294,5.4,11.9,0.9507400739635417,-0.30998921232810545
2018-06-01,3570,0.0,19.434444444444445,2.1351388888888887,5.6,10.1,0.9907306668339481,-0.13584088410622358
2018-07-01,4086,0.0,19.33534946236559,2.279301075268817,5.7,10.5,0.9598404343611691,-0.2805465033917945
2018-08-01,4982,23.0,21.60819892473118,2.3157258064516126,6.3,12.1,0.9909455941775573,-0.13426402861558898
2018-09-01,4728,39.6,23.33638888888889,2.1715277777777775,4.7,11.8,0.9985012295727607,-0.05472928413276706
2018-10-01,6658,273.4,23.111559139784944,2.0490591397849465,6.3,17.9,0.9757119777633504,-0.21905738163579672
