Modelo,Horizonte,Mes,n,MAE,RMSE,Erro_Medio
Bi-GRU,1,2024-06,17,35.318805581068304,40.97864839939027,-31.74132442079925
Bi-GRU,1,2024-07,31,42.78658166479682,48.15011143154929,-38.695444075811324
Bi-GRU,1,2024-08,31,78.96213190353689,104.26136628282326,-54.97890690545884
Bi-GRU,1,2024-09,30,107.52122932299973,165.03061052493578,-102.9371678369741
Bi-GRU,1,2024-10,31,144.35009046956415,195.9582937194687,-15.329005518747957
Bi-GRU,1,2024-11,30,106.13286126603684,136.62987518397676,-73.81309394190713
Bi-GRU,1,2024-12,31,92.29412174224854,145.08264409487776,-7.983803588536515
Bi-GRU,1,2025-01,31,89.08874860550127,156.60810975740557,35.27475321821624
Bi-GRU,1,2025-02,28,47.41134156286718,66.06475298030126,-26.954210770981692
Bi-GRU,1,2025-03,31,62.13465627715471,125.25047475710647,13.592214723027475
Bi-GRU,1,2025-04,30,40.60273149932425,49.75334766982823,-15.520147149513202
Bi-GRU,1,2025-05,31,34.86775570531045,47.10171260297458,-3.139978142034658
Bi-GRU,3,2024-06,17,26.57833851128818,32.12493991539875,-19.2223902629579
Bi-GRU,3,2024-07,31,32.325251337020646,38.21662361574323,-25.85191267103921
Bi-GRU,3,2024-08,31,38.879145665274535,60.055904201593904,-5.669740780467013
Bi-GRU,3,2024-09,30,70.85891117776436,91.41454051705202,-52.034470838059995
Bi-GRU,3,2024-10,31,152.6175059762693,216.46941847201063,69.06240357218248
Bi-GRU,3,2024-11,30,135.29390659083927,170.5235644648498,-102.9973690633973
Bi-GRU,3,2024-12,31,95.69949156766936,118.42560208537235,69.94876577344628
Bi-GRU,3,2025-01,31,109.46908159698211,170.2560366153951,42.047405904339165
Bi-GRU,3,2025-02,28,45.715532519987654,55.22867402883043,-25.266576390181317
Bi-GRU,3,2025-03,31,91.57522801237721,160.07745038211146,11.65318065689452
Bi-GRU,3,2025-04,30,64.81048809488613,74.66461819362759,23.90180742243922
Bi-GRU,3,2025-05,31,43.25187752203596,53.39987120104703,-15.367295327926866
Bi-GRU,7,2024-06,17,28.33598208208297,33.289527379597764,-22.81906903885746
Bi-GRU,7,2024-07,31,27.828940761425823,32.20092313184737,-19.394496173868287
Bi-GRU,7,2024-08,31,44.520480622447316,60.014157185636094,-15.312626397177125
Bi-GRU,7,2024-09,30,73.74947718630237,85.85293638527777,-65.36106619983914
