Modelo,Horizonte,MAE,RMSE
Bi-GRU,1,75.09843351903625,121.18339909368983
Bi-GRU,3,77.66792861693963,121.76594576945018
Bi-GRU,7,73.61344215938483,119.91709835082709
Bi-GRU,14,64.31049465436742,106.27487413110401
Bi-LSTM,1,64.1893559418915,100.4383018197343
Bi-LSTM,3,74.00649468035607,119.47351545870457
Bi-LSTM,7,79.48732862174936,128.39803902296399
Bi-LSTM,14,67.69043784002265,110.23939156042219
XGBoost,1,62.45911264419556,101.41046351804428
XGBoost,3,78.77311559156938,120.02432495006059
XGBoost,7,83.82539601759477,132.10390385801654
XGBoost,14,71.33821660822088,115.22862716344277
