Modelo,Horizonte,n,MAE,RMSE,R2,MAPE
Bi-GRU,1,352,20.21677436961115,34.28380388165277,0.3835598356934582,39.988997746207055
Bi-GRU,3,352,26.984154234746132,41.701059808171834,0.08797423327030562,64.29986175385663
Bi-GRU,7,352,25.473827792066995,39.248771870694604,0.19208612441531436,63.27218974201775
Bi-GRU,14,352,24.934160175066527,39.251225649582786,0.1919851019431883,59.26006116690385
Bi-LSTM,1,352,22.02128289821981,37.88758708675635,0.2471528362113783,46.77957154814478
Bi-LSTM,3,352,25.42817393183412,39.87499389937247,0.16609959913914274,59.40464920051166
Bi-LSTM,7,352,25.481742672272958,40.6441158908381,0.1336202649829722,57.4943454515656
Bi-LSTM,14,352,24.496739698002454,39.351460600606345,0.18785301458831616,54.364573196409225
XGBoost,1,352,18.417904181913897,30.476459511453385,0.512873283105679,41.83478883015781
XGBoost,3,352,23.640341558239676,36.40593787178919,0.3048838631779198,60.703381745505524
XGBoost,7,352,26.226815426891502,39.242107374280025,0.19236047093554165,70.70125954126962
XGBoost,14,352,22.9003645344214,36.35897010484468,0.30667626270312687,56.57425885054127
