Modelo,Horizonte,n,MAE,RMSE,R2,MAPE
Bi-GRU,1,365,73.44260448160237,119.20968185828791,0.15553598271332036,26.182350902432255
Bi-GRU,3,365,75.77670840247445,119.71531906639909,0.14835706935151072,24.193567804914995
Bi-GRU,7,365,71.81093494677789,117.8801485929452,0.17426738215353532,23.277210557226176
Bi-GRU,14,365,62.79328977445217,104.49555775100222,0.3511358978817122,20.244595133178667
Bi-LSTM,1,365,62.70639998988339,98.80457838589707,0.4198874918372021,20.939862510410347
Bi-LSTM,3,365,72.08084745566322,117.41513990237962,0.18076916397061504,22.768511158775965
Bi-LSTM,7,365,77.70015160578163,126.25391057650926,0.05278674097151492,25.166624401833044
Bi-LSTM,14,365,66.12178619167167,108.4004672947452,0.3017347975881587,20.967152113695104
XGBoost,1,365,61.08958092258401,99.72434302965512,0.40903677112623416,20.641128777319988
XGBoost,3,365,76.70975885260594,117.96478644857226,0.17308120570600216,26.543811805444896
XGBoost,7,365,81.5689183483385,129.82117872613114,-0.0014959264044154263,27.93697707459703
XGBoost,14,365,69.50258116003585,113.24031879645818,0.23799072462608384,22.40518197916942
