Modelo,Horizonte,Mes,n,MAE,RMSE,Erro_Medio
Bi-GRU,1,2024-06,17,26.46499963586823,32.136801994912354,-20.25743678957226
Bi-GRU,1,2024-07,31,33.72369974539166,47.1248340085075,-26.58797079060349
Bi-GRU,1,2024-08,31,33.58627460608561,53.5126545604771,4.284055394991732
Bi-GRU,1,2024-09,30,41.044113360593734,51.853294269324365,-10.337065633386402
Bi-GRU,1,2024-10,31,142.1555000336901,209.5565738342645,62.603900106683824
Bi-GRU,1,2024-11,30,88.13512577066821,116.32486849433309,-42.419264538586184
Bi-GRU,1,2024-12,31,85.2623311314852,112.0593196364196,-19.96460662878334
Bi-GRU,1,2025-01,31,76.92236835629711,140.9023348343742,17.35752515639024
Bi-GRU,1,2025-02,28,54.48127779710506,65.0365075535771,-0.06586857752080581
Bi-GRU,1,2025-03,31,65.5698503308719,130.9872295932407,44.185705693979386
Bi-GRU,1,2025-04,30,40.67008379027249,49.96694605829482,-2.8287536717951722
Bi-GRU,1,2025-05,31,34.99332496980506,48.61493689328346,15.489986141122133
Bi-GRU,3,2024-06,17,25.458615610704722,29.962490581389027,-14.75256701777965
Bi-GRU,3,2024-07,31,30.123307677526636,36.342100788806775,-24.219990171732462
Bi-GRU,3,2024-08,31,44.50109921996634,66.07331657519076,-7.563028297837729
Bi-GRU,3,2024-09,30,50.1236150207619,59.67968864691424,-23.557912824302935
Bi-GRU,3,2024-10,31,154.84847869555796,221.1042580240483,67.40186989451605
Bi-GRU,3,2024-11,30,77.68617535829544,92.97960455951139,-21.906064965327634
Bi-GRU,3,2024-12,31,77.20716434813315,96.93076925380845,24.222082068843182
Bi-GRU,3,2025-01,31,97.01942316418693,155.77736285137675,36.91239023352819
Bi-GRU,3,2025-02,28,50.69425330124799,65.84613689646488,-22.695346467463075
Bi-GRU,3,2025-03,31,75.27473140387764,144.6695817855695,49.152791136695456
Bi-GRU,3,2025-04,30,57.33891478106379,68.04752395850056,20.724235729128086
Bi-GRU,3,2025-05,31,37.4791194847034,51.521121897022596,-9.513211019337213
Bi-GRU,7,2024-06,17,25.859120156396852,31.2205562239952,-20.870593254618804
Bi-GRU,7,2024-07,31,38.839312676460544,45.56114141092321,-35.71007427861617
Bi-GRU,7,2024-08,31,39.81942162758883,56.210705903139285,-9.760632273891304
Bi-GRU,7,2024-09,30,56.1248732917011,69.22972858397146,-40.28591824546459
Bi-GRU,7,2024-10,31,157.60155875115626,233.73683933168232,56.599054632167615
Bi-GRU,7,2024-11,30,115.35928997745118,161.0183038017611,-44.37330099195246
Bi-GRU,7,2024-12,31,79.82376879021047,103.52234371812172,19.079850472269477
Bi-GRU,7,2025-01,31,90.27126339798973,158.29342647419068,34.756064885566275
Bi-GRU,7,2025-02,28,50.065533396122724,62.53681059008823,-23.25381440163727
Bi-GRU,7,2025-03,31,86.01227388458867,160.84728930333006,59.3860199485094
Bi-GRU,7,2025-04,30,62.75500965317089,73.00903250208064,33.60417446692781
Bi-GRU,7,2025-05,31,30.520655459934673,41.60071414898913,-6.643049070431367
Bi-GRU,14,2024-06,17,32.94245824305452,36.64289134767836,-31.660383234129245
Bi-GRU,14,2024-07,31,40.49071784822213,46.4370316282431,-38.951800142324764
Bi-GRU,14,2024-08,31,39.83215559754643,57.59123273515636,-15.326527030958315
Bi-GRU,14,2024-09,30,86.28648486013216,104.75355685330538,-83.87044040237866
Bi-GRU,14,2024-10,31,148.6457821198048,223.29938899102032,64.61095326850489
Bi-GRU,14,2024-11,30,72.95576858967544,91.02098969082482,-12.400910044213186
Bi-GRU,14,2024-12,31,85.85037798795008,107.2171509617323,27.350910750608247
Bi-GRU,14,2025-01,31,91.33994469431138,157.09761313048645,55.19867593530683
Bi-GRU,14,2025-02,28,49.09961151943677,59.221348023905875,-23.924255938136202
Bi-GRU,14,2025-03,31,70.56470757146036,145.3553747079603,32.250023451543576
Bi-GRU,14,2025-04,30,52.57094434400399,64.71741623561257,24.53171373506384
Bi-GRU,14,2025-05,31,30.155268911873147,40.83323497537689,-13.031378148544253
Bi-LSTM,1,2024-06,17,34.59992469452762,40.87695230898354,-33.43324497035323
Bi-LSTM,1,2024-07,31,36.55377470798071,42.85745699951548,-31.476589092083536
Bi-LSTM,1,2024-08,31,48.27970223801754,74.31905464214314,-17.09300234000531
Bi-LSTM,1,2024-09,30,53.28915102730197,77.39425078847846,-17.693850791951043
Bi-LSTM,1,2024-10,31,114.75196760989003,165.43972715459955,54.51659013955819
Bi-LSTM,1,2024-11,30,90.50326959962648,114.78456112381213,-19.7599963612855
Bi-LSTM,1,2024-12,31,85.65365985180101,107.34281784297615,0.587417612633359
Bi-LSTM,1,2025-01,31,76.81987558353332,142.67078441797204,44.77518023598576
Bi-LSTM,1,2025-02,28,47.60001497955195,55.56993447157229,1.4064298354621008
Bi-LSTM,1,2025-03,31,75.83190371288404,144.1370824802381,59.170352740633845
Bi-LSTM,1,2025-04,30,45.049488484114406,55.436711483455774,12.389803986996373
Bi-LSTM,1,2025-05,31,31.80372844588372,41.34123764485775,2.7906911483695156
Bi-LSTM,3,2024-06,17,22.58470900137636,26.90414859043145,-10.53480986330441
Bi-LSTM,3,2024-07,31,32.38230094361692,37.92140306893654,-27.747720201650004
Bi-LSTM,3,2024-08,31,60.19163074344398,85.12433043724005,-28.39336091736634
Bi-LSTM,3,2024-09,30,64.48098184391856,78.39894238280617,-27.90586799855036
Bi-LSTM,3,2024-10,31,133.3634641579082,209.23218546024273,62.143578342372344
Bi-LSTM,3,2024-11,30,70.39057116806505,90.52001735126122,36.86838692426677
Bi-LSTM,3,2024-12,31,76.33648802676507,97.60363115738646,38.168314220443804
Bi-LSTM,3,2025-01,31,87.32835592569843,156.30479800385623,53.21659916639324
Bi-LSTM,3,2025-02,28,44.802313416664106,52.306838102904315,-21.490224189524188
Bi-LSTM,3,2025-03,31,76.78117313524407,139.8434956740482,23.89346884551544
Bi-LSTM,3,2025-04,30,58.858654133230445,69.34051197723015,4.679373557617224
Bi-LSTM,3,2025-05,31,37.753645251595216,49.81003131613917,-8.467610292136694
Bi-LSTM,7,2024-06,17,25.323730386355365,32.09348446879447,-18.595181214458815
Bi-LSTM,7,2024-07,31,29.465652428327083,35.1677561552194,-24.719667843753314
Bi-LSTM,7,2024-08,31,40.770289443913974,63.00143577297364,-0.49508527522127205
Bi-LSTM,7,2024-09,30,61.062406905243826,76.37544265818649,-54.47972080682718
