Modelo,Horizonte,MAE,RMSE
Bi-GRU,1,61.674642852719195,104.26055082732412
Bi-GRU,3,66.52485726259395,108.03228748291889
Bi-GRU,7,71.24474732285704,119.51789411648483
Bi-GRU,14,68.18879103169523,111.39510069691705
Bi-LSTM,1,62.91701531027105,100.33881481613643
Bi-LSTM,3,65.56409047374672,106.94010547329921
Bi-LSTM,7,71.85818495730531,118.11260830095107
Bi-LSTM,14,71.21192591641606,120.58171969341622
XGBoost,1,65.27014368230647,103.48209961720251
XGBoost,3,77.21694200689143,120.85161860002825
XGBoost,7,77.64110136032104,122.70128349692865
XGBoost,14,70.40890906073831,115.46660038880496
