data_referencia,interrupcoes,precipitacao_total_mm
2017-01-01,7460,143.8
2017-02-01,6271,242.79999999999998
2017-03-01,5717,177.8
2017-04-01,4251,25.4
2017-05-01,4247,64.19999999999999
2017-06-01,3905,0.0
2017-07-01,4593,0.0
2017-08-01,4422,0.0
2017-09-01,5083,10.0
2017-10-01,6371,36.0
2017-11-01,7470,333.8
2017-12-01,7187,258.2
2018-01-01,7424,158.8
2018-02-01,6029,257.8
2018-03-01,6463,228.0
2018-04-01,5176,213.60000000000002
2018-05-01,4183,9.6
2018-06-01,3570,0.0
2018-07-01,4086,0.0
2018-08-01,4982,23.0
2018-09-01,4728,39.6
2018-10-01,6658,273.4
2018-11-01,6307,298.8
2018-12-01,6882,199.4
2019-01-01,6534,44.6
2019-02-01,6729,175.0
2019-03-01,5883,241.6
2019-04-01,5482,320.2
2019-05-01,4270,67.6
2019-06-01,3952,8.0
2019-07-01,4266,0.0
2019-08-01,4667,0.0
2019-09-01,5684,10.200000000000001
2019-10-01,6600,22.8
2019-11-01,9428,211.20000000000002
2019-12-01,10190,268.2
2020-01-01,8606,311.0
2020-02-01,6062,194.2
2020-03-01,5768,282.8
2020-04-01,5094,179.8
2020-05-01,5248,29.2
2020-06-01,4931,0.0
2020-07-01,5383,0.0
2020-08-01,4536,0.0
2020-09-01,5937,29.799999999999997
2020-10-01,9198,169.2
2020-11-01,6743,226.0
2020-12-01,8594,154.6
2021-01-01,8237,261.6
2021-02-01,10049,539.4
2021-03-01,8008,160.8
2021-04-01,6730,121.8
2021-05-01,6057,4.0
2021-06-01,6873,29.6
2021-07-01,6228,0.0
2021-08-01,6469,2.8000000000000003
2021-09-01,7343,12.6
2021-10-01,10334,157.8
2021-11-01,12059,341.8
2021-12-01,11332,391.0
2022-01-01,8949,133.6
2022-02-01,8658,235.79999999999998
2022-03-01,9410,121.60000000000001
2022-04-01,7177,23.400000000000002
2022-05-01,7432,14.6
2022-06-01,6419,0.0
2022-07-01,6820,0.0
2022-08-01,7487,0.0
2022-09-01,9839,40.4
2022-10-01,9527,35.4
2022-11-01,15336,428.40000000000003
2022-12-01,11301,323.2
2023-01-01,10117,190.8
2023-02-01,8517,55.0
2023-03-01,8508,135.2
2023-04-01,8078,187.2
2023-05-01,6360,1.8
2023-06-01,6372,2.1999999999999997
2023-07-01,6763,0.0
2023-08-01,9027,37.6
2023-09-01,8108,30.0
2023-10-01,12940,126.2
2023-11-01,12097,104.2
2023-12-01,10913,125.8
2024-01-01,10467,319.6
2024-02-01,9002,105.6
2024-03-01,9064,117.39999999999999
2024-04-01,7128,130.4
2024-05-01,5871,0.0
2024-06-01,5621,0.0
2024-07-01,5874,0.0
2024-08-01,7013,0.0
2024-09-01,7031,0.0
2024-10-01,13977,268.8
2024-11-01,10648,242.2
2024-12-01,11915,214.6
2025-01-01,12047,198.6
2025-02-01,8011,97.8
2025-03-01,9993,120.8
2025-04-01,8614,78.2
2025-05-01,7142,1.5999999999999999
