data_referencia,interrupcoes,temperatura_media
2017-01-01,7460,22.341801075268815
2017-02-01,6271,21.317559523809525
2017-03-01,5717,22.106317204301074
2017-04-01,4251,22.381805555555555
2017-05-01,4247,20.926612903225806
2017-06-01,3905,19.72611111111111
2017-07-01,4593,17.628763440860215
2017-08-01,4422,21.76801075268817
2017-09-01,5083,21.955972222222222
2017-10-01,6371,24.58051075268817
2017-11-01,7470,21.495416666666664
2017-12-01,7187,21.4380376344086
2018-01-01,7424,22.01712301587302
2018-02-01,6029,21.497023809523807
2018-03-01,6463,22.006989247311825
2018-04-01,5176,20.513333333333332
2018-05-01,4183,19.66474988312295
2018-06-01,3570,19.434444444444445
2018-07-01,4086,19.33534946236559
2018-08-01,4982,21.60819892473118
2018-09-01,4728,23.33638888888889
2018-10-01,6658,23.111559139784944
2018-11-01,6307,20.888055555555557
2018-12-01,6882,21.695967741935483
2019-01-01,6534,22.91572580645161
2019-02-01,6729,22.275000000000002
2019-03-01,5883,21.667473118279567
2019-04-01,5482,21.569999999999997
2019-05-01,4270,21.1508064516129
2019-06-01,3952,19.42208333333333
2019-07-01,4266,18.926612903225806
2019-08-01,4667,21.446370967741935
2019-09-01,5684,24.72027997364954
2019-10-01,6600,24.400403225806453
2019-11-01,9428,22.825
2019-12-01,10190,22.449059139784946
2020-01-01,8606,22.213172043010754
2020-02-01,6062,21.75948275862069
2020-03-01,5768,21.606586021505375
2020-04-01,5094,21.279027777777777
2020-05-01,5248,19.193279569892475
2020-06-01,4931,19.157222222222224
2020-07-01,5383,19.303897849462366
2020-08-01,4536,20.419489247311827
2020-09-01,5937,23.55236111111111
2020-10-01,9198,23.68924731182796
2020-11-01,6743,21.602777777777774
2020-12-01,8594,22.443817204301077
2021-01-01,8237,22.273118279569893
2021-02-01,10049,20.863988095238092
2021-03-01,8008,21.71478494623656
2021-04-01,6730,20.720555555555556
2021-05-01,6057,19.941935483870967
2021-06-01,6873,19.32125
2021-07-01,6228,18.42231182795699
2021-08-01,6469,20.922224170172978
2021-09-01,7343,24.85097222222222
2021-10-01,10334,23.1625
2021-11-01,12059,21.298888888888886
2021-12-01,11332,21.19260752688172
2022-01-01,8949,21.455645161290324
2022-02-01,8658,21.316666666666666
2022-03-01,9410,22.154301075268815
2022-04-01,7177,22.334166666666665
2022-05-01,7432,19.58991935483871
2022-06-01,6419,19.538194444444443
2022-07-01,6820,19.384139784946235
2022-08-01,7487,21.149193548387096
2022-09-01,9839,22.90513888888889
2022-10-01,9527,23.68037634408602
2022-11-01,15336,20.65736111111111
2022-12-01,11301,20.815725806451614
2023-01-01,10117,21.033602150537632
2023-02-01,8517,22.744642857142853
2023-03-01,8508,21.553897849462366
2023-04-01,8078,21.026944444444442
2023-05-01,6360,20.026881720430104
2023-06-01,6372,19.254305555555554
2023-07-01,6763,19.69852150537634
2023-08-01,9027,21.766972140762462
2023-09-01,8108,24.379444444444445
2023-10-01,12940,24.512780504908836
2023-11-01,12097,24.26375
2023-12-01,10913,23.33212365591398
2024-01-01,10467,22.133870967741935
2024-02-01,9002,22.179310344827584
2024-03-01,9064,22.843834735857875
2024-04-01,7128,22.59138888888889
2024-05-01,5871,21.344086021505376
2024-06-01,5621,19.61788757136583
2024-07-01,5874,19.775503102554293
2024-08-01,7013,21.27621552127162
2024-09-01,7031,24.977228260869563
2024-10-01,13977,23.30969495091164
2024-11-01,10648,21.586944444444445
2024-12-01,11915,22.12178588125292
2025-01-01,12047,21.821143057503505
2025-02-01,8011,22.7868400621118
2025-03-01,9993,22.816801075268817
2025-04-01,8614,22.090386473429948
2025-05-01,7142,20.059841047218328
