data_referencia,interrupcoes,temperatura_media
2017-01-01,116,22.870833333333334
2017-01-08,1573,23.745238095238097
2017-01-15,2023,22.34107142857143
2017-01-22,1789,20.95952380952381
2017-01-29,1576,21.935714285714283
2017-02-05,1734,21.83511904761905
2017-02-12,1767,20.98333333333333
2017-02-19,1306,21.713095238095235
2017-02-26,1401,21.563690476190477
2017-03-05,1217,21.251190476190477
2017-03-12,1006,24.000595238095237
2017-03-19,1517,21.426190476190474
2017-03-26,1160,22.02619047619047
2017-04-02,1562,21.22083333333333
2017-04-09,1152,22.488690476190474
2017-04-16,834,22.79583333333333
2017-04-23,853,22.363690476190474
2017-04-30,1113,22.116666666666667
2017-05-07,841,20.54345238095238
2017-05-14,931,21.19464285714286
2017-05-21,1282,20.776190476190475
2017-05-28,811,21.204166666666662
2017-06-04,795,21.357142857142858
2017-06-11,904,20.729761904761908
2017-06-18,874,20.11488095238095
2017-06-25,908,18.392857142857142
2017-07-02,1065,18.317261904761903
2017-07-09,1017,16.185714285714287
2017-07-16,1026,17.982142857142858
2017-07-23,952,18.75238095238095
2017-07-30,1209,17.441666666666666
2017-08-06,1034,18.949404761904763
2017-08-13,883,22.238095238095237
2017-08-20,1083,23.01845238095238
2017-08-27,926,21.36547619047619
2017-09-03,1004,22.44940476190476
2017-09-10,880,21.912499999999998
2017-09-17,854,22.40297619047619
2017-09-24,846,22.175
2017-10-01,2385,21.417261904761904
2017-10-08,1671,22.535119047619045
2017-10-15,1187,26.52857142857143
2017-10-22,1267,26.03333333333333
2017-10-29,1328,24.32202380952381
2017-11-05,1918,21.708928571428572
2017-11-12,1730,20.57559523809524
2017-11-19,1568,22.03809523809524
2017-11-26,1653,22.076190476190476
2017-12-03,1831,20.613095238095237
2017-12-10,1324,21.734523809523807
2017-12-17,1507,19.611309523809524
2017-12-24,1801,22.210714285714285
2017-12-31,1983,22.795238095238094
2018-01-07,1867,21.246726190476192
2018-01-14,1804,21.236309523809524
2018-01-21,1415,22.829166666666662
2018-01-28,1609,22.622023809523814
2018-02-04,1688,21.060714285714287
2018-02-11,1355,20.938095238095237
2018-02-18,1060,22.99345238095238
2018-02-25,1941,21.016666666666662
2018-03-04,1510,22.235714285714288
2018-03-11,1719,21.654166666666665
2018-03-18,1552,22.311904761904763
2018-03-25,1497,21.813690476190477
2018-04-01,993,21.931547619047617
2018-04-08,1576,20.736309523809524
2018-04-15,1256,20.260714285714283
2018-04-22,1168,19.80238095238095
2018-04-29,952,21.083928571428572
2018-05-06,798,21.007142857142856
2018-05-13,831,20.10639233954451
2018-05-20,1309,19.91428571428571
2018-05-27,889,18.87857142857143
2018-06-03,822,18.047619047619047
2018-06-10,927,20.520238095238092
2018-06-17,832,19.75595238095238
2018-06-24,741,18.75238095238095
2018-07-01,880,19.036309523809525
2018-07-08,862,19.176785714285717
2018-07-15,883,19.686309523809523
2018-07-22,932,19.1875
2018-07-29,960,19.045238095238094
2018-08-05,1056,21.550595238095237
2018-08-12,1160,21.821428571428573
2018-08-19,1301,20.48154761904762
2018-08-26,976,22.360119047619047
2018-09-02,1007,22.020238095238092
2018-09-09,812,22.107142857142858
2018-09-16,918,23.458333333333332
2018-09-23,1824,22.059523809523807
2018-09-30,959,25.72083333333333
2018-10-07,1213,23.79940476190476
2018-10-14,1107,25.047619047619044
2018-10-21,1671,22.16428571428571
2018-10-28,1776,21.85892857142857
2018-11-04,2001,21.392261904761906
2018-11-11,1387,20.0875
2018-11-18,1575,21.925595238095237
2018-11-25,1303,20.389285714285712
2018-12-02,1260,20.989285714285717
2018-12-09,1532,20.84345238095238
2018-12-16,1148,21.54404761904762
2018-12-23,1668,23.444047619047616
2018-12-30,1944,21.416666666666664
2019-01-06,1572,22.207142857142856
2019-01-13,1588,21.952380952380953
2019-01-20,1294,23.433333333333334
2019-01-27,1495,23.297619047619044
2019-02-03,1250,24.461904761904766
2019-02-10,2325,21.51904761904762
2019-02-17,1458,22.395238095238092
2019-02-24,1594,21.866666666666667
2019-03-03,1454,21.35654761904762
2019-03-10,1313,21.407142857142855
2019-03-17,1473,22.319642857142856
2019-03-24,1503,21.754166666666663
2019-03-31,1089,21.620238095238097
2019-04-07,1237,21.763095238095236
2019-04-14,1453,20.97083333333333
2019-04-21,1155,21.707738095238092
2019-04-28,1353,21.66309523809524
2019-05-05,1063,21.704761904761906
2019-05-12,827,22.39345238095238
2019-05-19,953,20.1375
2019-05-26,936,20.655357142857138
2019-06-02,1079,21.360119047619044
2019-06-09,963,19.01547619047619
2019-06-16,910,19.263095238095236
2019-06-23,936,18.98690476190476
2019-06-30,839,19.72678571428571
2019-07-07,993,18.88095238095238
2019-07-14,922,18.544642857142858
2019-07-21,990,18.966666666666665
2019-07-28,962,18.651785714285715
2019-08-04,910,20.89404761904762
2019-08-11,1279,20.051190476190474
2019-08-18,1064,20.808333333333334
2019-08-25,960,22.986309523809524
2019-09-01,987,22.564285714285713
2019-09-08,920,24.3652950310559
2019-09-15,952,25.410714285714285
2019-09-22,1134,26.484714379823078
2019-09-29,2306,22.808333333333334
2019-10-06,1327,24.78988095238095
2019-10-13,1608,24.061904761904763
2019-10-20,1035,26.12142857142857
2019-10-27,2204,22.47738095238095
2019-11-03,1454,24.364880952380954
2019-11-10,2738,23.5047619047619
2019-11-17,1702,24.538095238095234
