data_referencia,interrupcoes,precipitacao_total_mm,temperatura_media,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_dir_sin,vento_dir_cos,vento_direcao_media_circular_gr,n_dias
2017-01-02,302,0.0,23.18541666666667,1.2312499999999997,2.8,8.1,0.8547981550133917,0.518960609474073,58.7374429706225,2
2017-01-09,1601,21.0,23.91488095238095,2.106547619047619,7.3,17.8,0.9950965961154191,0.0989078581281913,84.32371642856992,7
2017-01-16,2188,37.0,21.808333333333334,1.9922619047619048,4.6,13.6,-0.712555317484294,0.7016159344861383,314.55679485497114,7
2017-01-23,1667,55.0,20.89940476190476,1.8297619047619047,4.7,11.5,0.9868739794163967,-0.16149225600890402,99.29352271077434,7
2017-01-30,1509,30.799999999999997,22.352380952380948,1.988690476190476,6.2,10.2,0.9703512185182485,-0.2416992195273917,103.98685139600668,7
2017-02-06,1887,93.0,21.467857142857138,1.8910714285714287,4.3,13.2,0.4332723600548052,0.9012630370832586,25.67541231676371,7
2017-02-13,1649,69.0,20.875595238095233,2.2970238095238096,5.2,10.7,0.21967006026656177,0.9755742230207218,12.689654792317846,7
2017-02-20,1263,4.4,22.082142857142856,2.543452380952381,6.3,12.2,0.9991707813994913,-0.0407154712306025,92.33346968355093,7
2017-02-27,1467,75.6,21.24761904761905,2.142261904761905,5.0,14.8,0.9920388779606203,0.12593198408122344,82.76542013993499,7
2017-03-06,1138,21.2,21.63154761904762,1.8041666666666667,7.3,14.0,0.9997123566021906,0.02398341211951268,88.6257199371731,7
2017-03-13,960,0.0,23.929761904761904,2.2851190476190477,4.6,9.2,0.9999916156570131,0.004094950021245878,89.76537599074253,7
2017-03-20,1607,53.2,21.09107142857143,1.7452380952380953,4.9,12.7,0.9744089122943488,-0.22478272095813834,102.99010170712765,7
2017-03-27,1161,32.0,22.25595238095238,1.8035714285714286,5.3,12.0,0.8321026323632748,-0.5546216811612299,123.6846610735801,7
2017-04-03,1497,91.0,21.188690476190477,1.8511904761904763,4.7,8.4,0.9989006034986437,0.04687839939722014,87.31308082884402,7
2017-04-10,1173,4.2,22.58511904761905,2.2642857142857142,4.7,9.5,0.9194752957748352,0.39314778450320603,66.84949390832078,7
2017-04-17,798,0.0,22.86845238095238,2.204761904761905,4.5,8.3,0.9044281255566574,-0.4266260255798646,115.25362900984352,7
2017-04-24,897,0.4,22.228571428571428,2.064285714285714,4.6,9.3,0.9852825754594046,0.17093345633925097,80.15790339552952,7
2017-05-01,1027,2.0,21.857738095238094,2.563690476190476,5.2,9.4,0.9963939111476157,-0.08484794533727655,94.86728119206377,7
2017-05-08,931,2.0,20.719642857142855,2.369642857142857,5.8,10.6,0.9841162279680428,-0.17752534987981652,100.22565149213848,7
2017-05-15,887,0.0,21.16547619047619,1.8369047619047618,5.5,9.6,0.6476826426679979,-0.7619102272489842,139.6328899327254,7
2017-05-22,1279,62.199999999999996,20.892261904761906,1.7357142857142855,4.4,11.4,0.9792041535904279,0.202877365891944,78.29472978913243,7
2017-05-29,777,0.0,21.014880952380953,2.263095238095238,5.0,7.9,0.9459303547133213,-0.32436979519050485,108.92739860111243,7
2017-06-05,838,0.0,21.52202380952381,2.0982142857142856,4.4,9.0,0.9955414399695571,-0.09432518912433023,95.41248159013146,7
2017-06-12,940,0.0,20.627976190476193,1.8523809523809525,4.2,8.8,0.8325368472884678,-0.5539696723711314,123.6397776613766,7
2017-06-19,796,0.0,19.788690476190474,2.3285714285714287,5.6,9.8,0.977235348953127,-0.2121581314879538,102.2488543187013,7
2017-06-26,994,0.0,18.166666666666668,3.270833333333333,6.1,12.0,0.9160976613684442,-0.40095520302805326,113.63790642195367,7
2017-07-03,1036,0.0,18.217857142857145,3.0714285714285716,7.3,13.4,0.9381154840474476,-0.3463225932428073,110.26255269621937,7
2017-07-10,997,0.0,16.239285714285714,3.7523809523809524,6.5,11.6,0.9919478520556478,-0.1266469849707708,97.27587704308124,7
2017-07-17,1048,0.0,18.141666666666666,3.1095238095238096,6.4,10.9,0.9852701950146912,-0.17100480348724867,99.84624558288917,7
2017-07-24,912,0.0,18.70416666666667,2.3779761904761902,5.8,11.1,0.942586937322653,-0.333960874338149,109.50936164054127,7
2017-07-31,1218,0.0,17.20952380952381,3.988095238095238,7.7,13.9,0.9937012031457187,-0.11206212057047192,96.43420147596882,7
2017-08-07,1066,0.0,19.66785714285714,2.081547619047619,4.4,10.0,0.9571253191472916,-0.28967416772504095,106.8384499285717,7
2017-08-14,881,0.0,22.366666666666667,2.049404761904762,4.6,11.2,0.9907407524992803,-0.13576730584776248,97.80299179744037,7
2017-08-21,1088,0.0,23.213690476190475,2.4499999999999997,5.0,11.1,0.9999705576590191,0.00767357902875057,89.56033199293223,7
2017-08-28,949,0.0,21.223214285714285,3.336309523809524,6.7,14.0,0.9874320985092,-0.15804382567413885,99.0933710672069,7
2017-09-04,952,0.0,22.033928571428568,3.1273809523809524,6.0,12.2,0.9586177385394117,-0.2846963845179352,106.54070088951904,7
2017-09-11,897,0.0,22.474999999999998,2.994642857142857,5.6,10.3,0.9947788132414396,-0.10205445960835358,95.8574877146689,7
2017-09-18,829,0.0,22.271428571428572,3.620238095238095,6.8,13.4,0.9999925930283603,-0.0038488814499957986,90.22052520740588,7
2017-09-25,835,0.0,22.244642857142857,3.2404761904761905,6.0,11.0,0.9918083551232774,-0.12773482965761138,97.33871632025487,7
2017-10-02,2653,13.0,21.31130952380952,2.394047619047619,5.7,12.2,0.9976534016882531,0.06846670796713598,86.07407525953272,7
2017-10-09,1554,8.6,23.14761904761905,2.738095238095238,6.0,10.8,0.9598911037411976,-0.28037308886286766,106.28247307229877,7
2017-10-16,1106,0.0,26.701190476190476,2.5749999999999997,5.4,12.3,0.9976956601737804,-0.06784813682338234,93.89040061548312,7
2017-10-23,1238,0.0,25.533928571428568,2.9761904761904767,6.2,13.9,0.9609224838733175,0.27681759334755773,73.92963981127707,7
2017-10-30,1476,21.6,24.020238095238092,2.4690476190476187,5.5,11.3,0.9926710237436281,0.12084799799656334,83.05895453343796,7
2017-11-06,1737,28.799999999999997,21.776785714285715,2.3720238095238098,5.0,11.0,0.9933084037744807,0.11549205596487211,83.36799311209275,7
2017-11-13,1859,141.8,20.60297619047619,2.542857142857143,5.5,14.3,0.914396403693926,0.40481998087003407,66.12015329067111,7
2017-11-20,1484,22.599999999999998,22.010119047619046,2.4101190476190477,5.4,11.3,0.31734369815001995,0.948310591127437,18.502358838783177,7
2017-11-27,1807,70.6,21.867261904761904,1.9982142857142855,9.1,16.1,0.033583082166370494,0.9994359292081743,1.9245307419766302,7
2017-12-04,1666,81.80000000000001,20.909523809523808,2.623809523809524,5.9,12.4,-0.1435857518327027,0.9896378791611796,351.74460821926965,7
2017-12-11,1383,55.0,21.271428571428572,2.1351190476190474,4.7,10.9,-0.8548011124690348,0.5189557381142447,301.2622305103342,7
2017-12-18,1573,128.2,19.738690476190474,2.1220238095238098,5.9,10.3,0.36425019169149114,0.9313011316715512,21.361445508295315,7
2017-12-25,1840,53.6,22.33511904761905,1.9041666666666666,4.7,12.8,0.5471119897803918,0.8370594188219497,33.16910811317132,7
2018-01-01,1912,28.599999999999998,22.776785714285715,1.8071428571428572,5.2,12.3,0.6419938581429017,0.7667097795820735,39.940657662274354,7
2018-01-08,1941,66.8,21.03422619047619,1.942824074074074,5.6,12.3,-0.40265100830533307,0.9153535740415824,336.2559892432784,7
2018-01-15,1747,8.6,21.207738095238092,2.406547619047619,5.9,11.0,0.9817704070903382,0.19007069148522493,79.04309029936752,7
2018-01-22,1359,0.2,23.447619047619046,2.2565476190476192,4.5,11.2,0.9979898059332816,-0.06337465781565223,93.63353545116243,7
2018-01-29,1621,57.800000000000004,22.238690476190477,2.0470238095238096,4.8,10.9,0.26583835535002,0.9640176185240582,15.416773952641178,7
2018-02-05,1694,104.00000000000001,20.690476190476193,2.6136904761904765,5.7,11.4,-0.5108185168548168,0.85968857316952,329.2816338690679,7
2018-02-12,1292,79.8,21.526190476190475,2.1732142857142853,5.1,10.5,0.15229191998146813,0.9883355559264061,8.759770111062542,7
2018-02-19,1247,19.4,22.627976190476186,2.654761904761905,6.2,10.5,0.9994907951729503,-0.03190846853961597,91.8285309541793,7
2018-02-26,1884,53.6,21.041666666666664,2.0369047619047618,7.1,15.9,0.021134105323197216,0.99977664985345,1.2109851980538422,7
2018-03-05,1546,70.19999999999999,22.49642857142857,1.6327380952380952,5.3,13.2,0.23826251282981534,0.9712007902488661,13.784015126202156,7
2018-03-12,1657,81.2,21.554761904761904,1.936904761904762,4.9,10.8,-0.9879078934655205,0.15504191055491312,278.919226934977,7
2018-03-19,1505,30.0,22.48928571428571,1.8047619047619048,4.8,11.1,0.26997478282390325,0.9628673930709183,15.662766288495327,7
2018-03-26,1435,53.599999999999994,21.62440476190476,2.0047619047619047,5.5,10.1,0.5153690327165621,0.8569683542096496,31.022124836175994,7
2018-04-02,1006,18.8,21.71190476190476,2.3529761904761903,5.0,11.8,0.9948938842327626,0.1009265035372098,84.20747484476253,7
2018-04-09,1635,101.0,20.683333333333334,1.8642857142857143,6.1,10.2,0.9888893516786491,-0.14865345652416223,98.54890045844662,7
