data_referencia,interrupcoes,temperatura_media,precipitacao_total_mm,consumo_total_kwh
2017-01-01,7460,22.341801075268815,143.8,605134633.0
2017-02-01,6271,21.317559523809525,242.79999999999998,538711696.0
2017-03-01,5717,22.106317204301074,177.8,623275513.0
2017-04-01,4251,22.381805555555555,25.4,595526234.0
2017-05-01,4247,20.926612903225806,64.19999999999999,606754313.0
2017-06-01,3905,19.72611111111111,0.0,573214451.0
2017-07-01,4593,17.628763440860215,0.0,560133029.0
2017-08-01,4422,21.76801075268817,0.0,600531220.0
2017-09-01,5083,21.955972222222222,10.0,586001287.0
2017-10-01,6371,24.58051075268817,36.0,645083403.0
2017-11-01,7470,21.495416666666664,333.8,582638596.0
2017-12-01,7187,21.4380376344086,258.2,584170661.0
2018-01-01,7424,22.01712301587302,158.8,602367806.0
2018-02-01,6029,21.497023809523807,257.8,545450007.0
2018-03-01,6463,22.006989247311825,228.0,627414121.0
2018-04-01,5176,20.513333333333332,213.60000000000002,591141397.0
2018-05-01,4183,19.66474988312295,9.6,614203185.0
2018-06-01,3570,19.434444444444445,0.0,599749811.0
2018-07-01,4086,19.33534946236559,0.0,608688650.0
2018-08-01,4982,21.60819892473118,23.0,643645236.0
2018-09-01,4728,23.33638888888889,39.6,641502993.0
2018-10-01,6658,23.111559139784944,273.4,673640190.0
2018-11-01,6307,20.888055555555557,298.8,584741451.0
2018-12-01,6882,21.695967741935483,199.4,608982965.0
2019-01-01,6534,22.91572580645161,44.6,650240801.0
2019-02-01,6729,22.275000000000002,175.0,592930677.0
2019-03-01,5883,21.667473118279567,241.6,621638224.0
2019-04-01,5482,21.569999999999997,320.2,613326775.0
2019-05-01,4270,21.1508064516129,67.6,650968967.0
2019-06-01,3952,19.42208333333333,8.0,601386577.0
2019-07-01,4266,18.926612903225806,0.0,619618963.0
2019-08-01,4667,21.446370967741935,0.0,649755410.0
2019-09-01,5684,24.72027997364954,10.200000000000001,674470938.0
2019-10-01,6600,24.400403225806453,22.8,708200890.0
2019-11-01,9428,22.825,211.20000000000002,654294090.0
2019-12-01,10190,22.449059139784946,268.2,646712035.0
2020-01-01,8606,22.213172043010754,311.0,640662462.0
2020-02-01,6062,21.75948275862069,194.2,595979633.0
2020-03-01,5768,21.606586021505375,282.8,616018024.0
2020-04-01,5094,21.279027777777777,179.8,562848048.0
2020-05-01,5248,19.193279569892475,29.2,590383092.0
2020-06-01,4931,19.157222222222224,0.0,586392699.0
2020-07-01,5383,19.303897849462366,0.0,623277717.0
